All Public Meetings,,,,,,,"Instructions: Drinks & Agendas; If a public meeting is discussing that city's housing element, add the meeting to our map/database at www.fairhousingelements.org/calendar-form",Week of 6/25,Week of 7/8,Week of 7/16,Week of 8/5,Week of 8/12,Week of 8/26,Week of 1/13,Week of 1/20,Week of 2/03,Week of 3/17,# of agendas checked this week!/Whether Housing Element has been adopted from Jan 31 - today,www.fairhousingelements.org/calendar-form
San Diego,Solana Beach,,City Council,875,,"2nd Wednesday, 4th Wednesday",https://www.ci.solana-beach.ca.us/index.asp?SEC=C38A5C14-3D2B-4356-BFEA-A35854AC6D45&Type=B_BASIC,,,,,,,,,,,,
San Diego,Coronado,,Planning Commission,912,Adopted/Out,"2nd Tuesday, 4th Tuesday",https://www.coronado.ca.us/government/boards_commissions/planning_commission/agendas_and_minutes,,,,,,,,,,,,
San Diego,Santee,,Community Oriented Planning Committee,1219,,2nd Monday,https://www.cityofsanteeca.gov/government/city-clerk/boards-commissions-and-committees/compoc,,,,,,,,,,,,
San Diego,Poway,,City Council,1319,,"1st Tuesday, 3rd Tuesday",https://poway.org/636/Council-Meetings,,,,,,,,,,,,
San Diego,Lemon Grove,,Planning Commission,1359,Adopted/Out,4th Monday,https://www.lemongrove.ca.gov/city-hall/city-council/current-city-council-meeting-agenda,,,,,,,,,,,,
San Diego,Vista,,Planning Commission,2561,,"1st Tuesday, 3rd Tuesday",https://www.cityofvista.com/city-services/city-departments/city-clerk/online-resources/city-commissions-boards-committees/planning-commission,,,,,,,,,,,,
San Diego,El Cajon,,Planning Commission,3280,Adopted/Out,"1st Tuesday, 3rd Tuesday",https://www.cityofelcajon.us/your-government/city-meetings-with-agendas-and-minutes-all,,,,,,,,,,,,
San Diego,La Mesa,,Planning Commission,3797,Adopted/Out,"1st Wednesday, 3rd Wednesday",https://www.cityoflamesa.us/agendacenter/planning-commission-15,,,,,,,,,,,,
San Diego,Oceanside,,Planning Commission,5443,,"2nd Monday, 4th Monday",https://www.ci.oceanside.ca.us/gov/dev/planning/agendas.asp,,,,,,,,,,,TL,
San Diego,Escondido,,Planning Commission,9607,,"2nd Tuesday, 4th Tuesday",https://www.escondido.org/agendas-with-staff-reports.aspx,,,,,,,,,,,,
San Diego,Chula Vista,,Planning Commission,11105,Adopted/Out,"2nd Wednesday, 4th Wednesday",http://cvapps.chulavistaca.gov/weblink8/browse.aspx?startid=44649,,,,,,,,,,,,
San Francisco,San Francisco,,Board of Supervisors,82840,,Every Tuesday,https://sfbos.org/meetings/full-board-meetings,,,JF - No,,,,,,,,,
San Francisco,San Francisco,,Planning Commission,82069,,"1st Thurs, 2nd Thurs, 3rd Thurs, 4th Thurs, 5th Thurs @ 1pm",https://sfplanning.org/hearings-events,,,JF - No,,,,Gabe Zitrin no,,,No,JF,
San Joaquin,Lodi,,City Council,1931,,,http://www.lodi.gov/AgendaCenter,,,,,,,,,,,,
San Joaquin,Lodi,,Planning Commission,1931,,,"http://www.lodi.gov/AgendaCenter/Search/?term=&CIDs=3,&startDate=&endDate=&dateRange=&dateSelector=",,,,,,,,,,,,
San Mateo,Colma,,City Council,204,,"2nd Wednesday, 4th Wednesday",https://www.colma.ca.gov/city-council-meetings/,,,,,,,,,,No,JF,
San Mateo,Portola Valley,,Planning Commission,248,,"1st Wednesday, 3rd Wednesday",https://www.portolavalley.net/town-government/planning-commission/minutes-and-agendas,TC TBD,,,,,,,,,,,
San Mateo,Atherton,,City Council,328,,"1st Wednesday, 3rd Wednesday",https://www.ci.atherton.ca.us/Archive.aspx?AMID=41,TC No till 7/20,,,,,,,,,,,
San Mateo,Atherton,,Planning Commission,328,,4th Wednesday,https://www.ci.atherton.ca.us/641/Agendas-Minutes,,,,,,,,,,Cancelled,JF,
San Mateo,Woodside,,Planning Commission,328,,"1st Wednesday, 3rd Wednesday",https://www.woodsidetown.org/calendar/month?field_microsite_tid=All&field_microsite_tid_1=491,,,,,,,ap Yes,,,,,
San Mateo,Woodside,,Town Council,328,,"2nd Tuesday, 4th Tuesday",https://www.woodsideca.gov/AgendaCenter,,,,,,,,,,No,JF,
San Mateo,Half Moon Bay,,City Council,342,,"1st Tuesday, 3rd Tuesday",https://www.half-moon-bay.ca.us/315/City-Council-Agendas,TC no till 7/16 ,,,,,,,,,,,
San Mateo,Half Moon Bay,,Planning Commission,342,,"2nd Tuesday, 4th Tuesday",https://www.half-moon-bay.ca.us/314/Planning-Commission-Agendas,,,,,,,,,,No,JF,
San Mateo,Hillsborough,,City Council,551,,"2nd Monday, 4th Monday",https://www.hillsborough.net/agendacenter,Zoom Link,,,,https://us06web.zoom.us/j/82869896165?pwd=QXJyVUpMam1JQW12OER3VTJ2dmROQT09,,,,,Cancelled,JF,
San Mateo,East Palo Alto,,City Council,835,,"1st Tuesday, 3rd Tuesday",https://www.cityofepa.org/citycouncil/page/agenda-and-minutes,TC no,,,,,,,,,,,
San Mateo,Brisbane,,City Council,1599,,"1st Thursday, 3rd Thursday",https://www.brisbaneca.org/meetings?date_filter%5Bvalue%5D%5Bmonth%5D=1&date_filter%5Bvalue%5D%5Bday%5D=1&date_filter%5Bvalue%5D%5Byear%5D=2016&date_filter_1%5Bvalue%5D%5Bmonth%5D=6&date_filter_1%5Bvalue%5D%5Bday%5D=18&date_filter_1%5Bvalue%5D%5Byear%5D=2024&field_microsite_tid_1=27,TC no ,,,,,,,,,,,
San Mateo,Brisbane,,Planning Commission,1599,,"2nd Thursday, 4th Thursday",https://www.brisbaneca.org/meetings?date_filter%5Bvalue%5D%5Bmonth%5D=1&date_filter%5Bvalue%5D%5Bday%5D=1&date_filter%5Bvalue%5D%5Byear%5D=2016&date_filter_1%5Bvalue%5D%5Bmonth%5D=6&date_filter_1%5Bvalue%5D%5Bday%5D=18&date_filter_1%5Bvalue%5D%5Byear%5D=2021&field_microsite_tid_1=28,,,,,,,,,,No,JF,
San Mateo,Belmont,,Planning Commission,1785,,"1st Tuesday, 3rd Tuesday",https://www.belmont.gov/departments/meetings-agendas-minutes/-selcat-12/-toggle-all,TC no ,,,,,,,,,,,
San Mateo,Belmont,,City Council,1785,,"2nd Tuesday, 4th Tuesday",https://www.belmont.gov/departments/meetings-agendas-minutes/-selcat-1/-toggle-all,,,,,,,,,,TBD,JF,
San Mateo,Foster City,,City Council,1896,,"1st Monday, 3rd Monday",https://www.fostercity.org/agendasandminutes,TC cancelled,,,,,,,,,,,
San Mateo,Pacifica,,Planning Commission,1912,,"1st Monday, 3rd Monday",https://pacificacityca.iqm2.com/Citizens/Calendar.aspx,TC no ,,,,,,,,,,,
San Mateo,Millbrae,,Planning Commission,2199,,"1st Monday, 3rd Monday",https://www.ci.millbrae.ca.us/community/city-calendar/-selcat-6,TC cancelled,,,,,,,,,,,
San Mateo,Millbrae,,City Council,2199,,"2nd Tuesday, 4th Tuesday",https://www.ci.millbrae.ca.us/AgendaCenter,,,,,,,,,,No,JF,
San Mateo,San Carlos,,Planning Commission,2735,,"1st Monday, 3rd Monday",http://sancarlosca.iqm2.com/Citizens/Default.aspx,TC cancelled,,,,,,Gabe Zitrin no,,,,,
San Mateo,San Mateo County,,Planning Commission,2863,,Bi-weekly,https://planning.smcgov.org/upcoming-planning-commission-meetings,TC no ,,,,,,,,,,,
San Mateo,San Mateo County,,Board of Supervisors,2863,,"1st , 2nd, 3rd, 4th Tuesdays (varies)",https://sanmateocounty.legistar.com/Calendar.aspx,TC no ,,JF - No,,,,Gabe Zitrin no,,,TBD,JF,
San Mateo,Menlo Park,,Planning Commission,2946,,"2nd Monday, 4th Monday",https://beta.menlopark.org/Agendas-and-minutes,,,,,,,,,,Yes,JF,
San Mateo,Menlo Park,,City Council,2946,,"2nd Tuesday, 4th Tuesday",https://www.menlopark.org/AgendaCenter,,,,,,,,,,Yes,JF,
San Mateo,San Bruno,,City Council,3192,,"2nd Tuesday, 4th Tuesday",https://www.sanbruno.ca.gov/AgendaCenter,,,,,,,,,,No,JF,
San Mateo,San Bruno,,Planning Commission,3192,,3rd Tuesday,https://www.sanbruno.ca.gov/gov/boards_commissions_n_committees/planning_commission/planning_commission_agendas_and_minutes/default.htm,,,,,,,Gabe Zitrin no,,,,,
San Mateo,Burlingame,,City Council,3289,,"1st Wednesday, 3rd Wednesday",https://www.burlingame.org/government/city_council/city_council_meeting_documents_and_minutes.php,TC no ,,,,,,Gabe Zitrin no,,,,,
San Mateo,Burlingame,,Planning Commission,3289,,"2nd Monday, 4th Monday",https://www.burlingame.org/169/City-Council---Agendas-and-Minutes,,,,,,,,,,No,JF,
San Mateo,South San Francisco,,City Council,3989,,"2nd Wednesday, 4th Wednesday",https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,,,,,,,,,,,
San Mateo,South San Francisco,,Planning Commission,3989,,3rd Thursday,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86&R=111fecdc-a817-4fe6-9b0d-657b7bec6383,,,,,meeting on 10/27,,Gabe Zitrin no,,,,,
San Mateo,Daly City,,Planning Commission,4370,,1st Tuesday,https://www.dalycity.org/369/Planning-Commission,TC cancelled,,,,,,,,,,,
San Mateo,Daly City,,City Council,4370,,"2nd Monday, 4th Monday",https://www.dalycity.org/129/Agendas-Minutes,,,,,,,,,,,,
San Mateo,Redwood City,,Planning Commission,4629,,"1st Tuesday, 3rd Tuesday",https://www.redwoodcity.org/city-hall/advisory-bodies-and-committees/regulatory-and-advisory-boards-commissions-and-committees/planning-commission/agendas-minutes,TC no ,,,,,,Gabe Zitrin no,,,,,
San Mateo,Redwood City,,City Council,4629,,"2nd Monday, 4th Monday",https://www.redwoodcity.org/city-hall/city-council/city-council-meetings-agendas-and-minutes,,,,,https://meetings.redwoodcity.org/AgendaOnline/Meetings/ViewMeeting?id=2255&doctype=1,,,,,,,
San Mateo,San Mateo,,City Council,7081,,"1st Wednesday, 3rd Wednesday",https://www.cityofsanmateo.org/3971/Agendas-Minutes-Public-Meeting-Portal,TC no ,,,,,,Gabe Zitrin no,,,,,
San Mateo,Portola Valley,,Town Council,248,,"2nd Wednesday, 4th Wednesday","Meeting Minutes, Agendas, and Recordings | Portola Valley, CA",,,,,,,,,,,,
San Mateo,Atherton,,City Council,328,,"1st Wednesday, 3rd Wednesday",https://www.ci.atherton.ca.us/641/Agendas-Minutes,TC no ,,,,,,,,,,,
San Mateo,Woodside,,Town Council,328,,"2nd Tuesday, 4th Tuesday",https://www.woodsideca.gov/agendacenter,NIX ,,,,,,,,,,,
San Mateo,Half Moon Bay,,City Council,342,,Varies,https://www.half-moon-bay.ca.us/315/City-Council-Agendas,NIX ,,,,,,,,,,,
San Mateo,Hillsborough,,City Council,551,,Varies,https://www.hillsborough.net/AgendaCenter/City-Council-3,nix ,,,,,,,,,,,
San Mateo,East Palo Alto,,City Council,835,,Varies,https://www.ci.east-palo-alto.ca.us/citycouncil/page/agenda-and-minutes,nix ,,,,,,,,,,,
San Mateo,Brisbane,,City Council,1599,,Varies,https://www.brisbaneca.org/meetings,nix ,,,,,,,,,,,
San Mateo,Brisbane,,Planning Commission,1599,,"2nd Thursday, 4th Thursday",https://www.brisbaneca.org/meetings,"Beth_Yes, Added",,,,,,,,,,,
San Mateo,Belmont,,City Council,1785,,Varies,https://www.belmont.gov/departments/meetings-agendas-minutes,nix ,,,,,,,,,,,
San Mateo,Foster City,,City Council,1896,,Varies,https://www.fostercity.org/agendasandminutes,nix ,,,,,,,,,,,
San Mateo,Pacifica,,City Council,1912,,Varies,https://www.cityofpacifica.org/government/city-council/city-council-agendas,nix ,,,,,,,,,,,
San Mateo,Millbrae,,City Council,2199,,Varies,https://www.ci.millbrae.ca.us/AgendaCenter,nix ,,,,,,,,,,,
San Mateo,San Carlos,,City Council,2735,,"2nd Monday, 4th Monday",cityofsancarlos.org/agenda,,,,,,,,,,,,
San Mateo,San Carlos,,Planning Commission,2735,,"1st Monday, 3rd Monday",https://www.cityofsancarlos.org/residents/public-meetings,nix ,,,,,,,,,,,
San Mateo,San Mateo County,,Board of Supervisors,2863,,Varies,https://www.smcgov.org/bos/board-supervisors-agenda-information,nix ,,,,,,,,,,,
San Mateo,Menlo Park,,City Council,2946,,1st Wednesday,https://menlopark.gov/Agendas-and-minutes#section-2,nix ,,,,,,,,,,,
San Mateo,San Bruno,,City Council,3192,,"2nd Tuesday, 4th Tuesday",https://www.sanbruno.ca.gov/AgendaCenter/City-Council-17,BT -- No,,,,,,,,,,,
San Mateo,San Bruno,,Planning Commission,3192,,3rd Tuesday,https://www.sanbruno.ca.gov/563/Planning-Commission,,,,,,,,,,,,
San Mateo,Burlingame,,City Council,3289,,Varies,https://www.burlingame.org/169/City-Council---Agendas-and-Minutes,nix ,,,,,,,,,,,
San Mateo,South San Francisco,,City Council,3989,,Varies,https://www.ssf.net/Departments/City-Council/City-Council-Meetings,nix ,,,,,,,,,,,
San Mateo,Daly City,,City Council,4370,,Varies,https://www.dalycity.org/129/Agendas-Minutes,nix ,,,,,,,,,,,
San Mateo,Redwood City,,City Council,4629,,"2nd Monday, 4th Monday","Meetings, Agendas, and Minutes | City of Redwood City",,,,,,,,,,,,
San Mateo,Redwood City,,Housing & Human Concerns Committee,4629,,varies,https://www.redwoodcity.org/city-hall/advisory-bodies-and-committees/regulatory-and-advisory-boards-commissions-and-committees/housing-and-human-concerns-committee/agendas-minute,nix ,,,,,,,,,,,
San Mateo,San Mateo,,City Council,7081,,Varies,https://www.cityofsanmateo.org/3971/Agendas-Minutes-Public-Meeting-Portal,nix ,,,,,,,,,,,
San Mateo,Pacifica,,City Council,1954,,"2nd Monday, 4th Monday",https://pacificacityca.iqm2.com/Citizens/Calendar.aspx,,,,,,,,,,,RT,
San Mateo,Pacifica,,Planning Commission,1954,,"1st Monday, 3rd Monday",https://pacificacityca.iqm2.com/Citizens/Calendar.aspx,,,,,,,,,,,RT,
Santa Barbara,Guadalupe,,City Council,431,,"2nd Thursday, 4th Thursday",https://ci.guadalupe.ca.us/document-category/council-agendas/,,,,,,,,,,,,
Santa Barbara,Carpinteria,,Planning Commission,901,,1st Monday,https://carpinteriaca.gov/city-hall/agendas-meetings//,,,,,,,,,,,,
Santa Barbara,Carpinteria,,City Council,901,,"2nd Monday, 4th Monday",https://carpinteriaca.gov/city-hall/agendas-meetings/,,,,,,,,,,,,
Santa Barbara,Goleta,,City Council,1837,,"1st Tuesday, 3rd Tuesday",https://www.cityofgoleta.org/i-want-to/news-and-updates/government-meeting-agendas-and-videos,,,,,,,,,,,,
Santa Barbara,Lompoc,,City Council,2248,,"1st Tuesday, 3rd Tuesday",https://www.cityoflompoc.com/government/committees-boards/city-council,,,,,,,,,,,,
Santa Barbara,Lompoc,,Planning Commission,2248,,2nd Wednesday,https://www.cityoflompoc.com/government/committees-boards/planning-commission,,,,,,,,,,,,
Santa Barbara,Santa Maria,,City Council,5418,,"1st Thursday, 3rd Thursday",https://cityofsantamaria.civicweb.net/Portal/MeetingTypeList.aspxx,,,,,,,,,,,,
Santa Barbara,Santa Maria,,Planning Commission,5418,,"1st Wednesday, 3rd Wednesday",https://cityofsantamaria.civicweb.net/Portal/MeetingTypeList.aspx,,,,,,,,,,,,
Santa Barbara,Santa Barbara,,Planning Commission,8001,,1st Three Thursdays,https://www.santabarbaraca.gov/gov/brdcomm/nz/planning/agendas.asp,,,,,,,,,,,,
Santa Barbara,Santa Barbara,,City Council,8001,,Each Tuesday,https://www.santabarbaraca.gov/gov/cityhall/council/meetings/videos/default.asp,,,,,,,,,,,,
Santa Barbara,Buellton,,City Council,165,,"2nd Thurs, 4th Thurs",City Council Agenda Archive | City of Buellton California,,,,,,,,,,,,
Santa Barbara,Buellton,,Planning Commission,165,,"1st Thurs, 3rd Thurs",Planning Commission Agenda/Packet Archive | City of Buellton California,,,,,,,,,,,,
Santa Barbara,Solvang,,City Council,191,,"2nd Mon, 4th Mon",Agenda Center • Solvang CA • CivicEngage (cityofsolvang.com),,,,,,,,,,,,
Santa Barbara,Santa Barbara,,Planning Commission,8001,,"1st Thurs, 2nd Thurs, 3rd Thurs",https://santabarbaraca.gov/planning-commission/planning-commission-agendas-documents,,,JF - No,,,,ap No,,,,,
Santa Clara,Monte Sereno,,City Council,191,,"1st Tues, 3rd Tuesday @ 7pm",https://montesereno.civicweb.net/Portal/MeetingSchedule.aspx&month=4,,,,,,,,,,,,
Santa Clara,Los Altos Hills,,Planning Commission,489,,1st Thurs @ 6pm,https://www.losaltoshills.ca.gov/506/CITY-COUNCIL-AGENDAS-MINUTES-AFTER-JUNE-,RM - TBD,,,,,,,,,,,
Santa Clara,Morgan Hill,,City Council,1047,,"1st Weds, 3rd Weds @ 7pm",https://morganhillca.portal.civicclerk.com/,RM cancelled,,,,,,,,,,,
Santa Clara,Gilroy,,Planning Commission,1285,,1st Thursdays,http://gilroyca.iqm2.com/Citizens/default.aspx,RM no,,,,,,,,,,,
Santa Clara,Saratoga,,City Council,1712,,1st and 3rd Wednesday @ 7pm,https://www.saratoga.ca.us/AgendaCenter/City-Council-13,RM YES,,,,,,,,,,,
Santa Clara,Saratoga,,Planning Commission,1712,,2nd Wed @ 7pm,https://www.saratoga.ca.us/AgendaCenter/Planning-Commission-6,,,,,,,,,,,,
Santa Clara,Los Altos,A,Planning Commission,1958,,"1st Thursday, 3rd Thursday",https://www.losaltosca.gov/citycouncil/page/city-council-planning-commission-meetings,,,,,,,,,,,,
Santa Clara,Los Gatos,,City Council,1993,,"1st Tues, 3rd Tues @ 7pm",https://meetings.municode.com/PublishPage/index?cid=LOSGATOS&ppid=4bc370fb-3064-458e-a11a-78e0c0e5d161&p=0,,,,,,,,,,,,
Santa Clara,Los Gatos,,Planning Commission,1993,,2nd and 4th Weds @ 7pm,https://meetings.municode.com/PublishPage/index?cid=LOSGATOS&ppid=ed97530d-9c22-4c95-961a-4d6a2c43b619&p=1,,,,,,,,,,,,
Santa Clara,Campbell,A,City Council,3005,,"1st Tuesday, 3rd Tuesday",https://www.ci.campbell.ca.us/AgendaCenter/City-Council-10,,,,,,,,,,,,
Santa Clara,Campbell,A,Planning Commission,3005,,"2nd Tues, 4th Tuesdays",https://www.ci.campbell.ca.us/AgendaCenter/Planning-Commission-6,,,,,,,,,,,,
Santa Clara,Cupertino,A,City Council,4588,,"1st Tues, 3rd Tuesday",https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D&Mode=MainBody,,,,,,,,,,,,
Santa Clara,Cupertino,A,Planning Commission,4588,,"2nd Tues, 4th Tuesdays",https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5&Search=,,,,,,,,,,,,
Santa Clara,Palo Alto,A,City Council,6086,,"1st Mon, 2nd Mon, 3rd Mon",https://www.cityofpaloalto.org/Departments/City-Clerk/Council-Meeting-Agendas-and-Minutes,,,JF - No,,,,ap No,,,,,
Santa Clara,Palo Alto,A,Planning Commission,6086,,2nd and last (4th?) Wednesdays,https://www.cityofpaloalto.org/Departments/Planning-Development-Services/Planning-and-Transportation-Commission-PTC/Current-PTC-Agendas-Minutes,,,,,https://www.cityofpaloalto.org/files/assets/public/agendas-minutes-reports/agendas-minutes/planning-and-transportation-commission/2021/ptc-10.11-public-agenda.pdf,,,,,,,
Santa Clara,Milpitas,,Planning Commission,6713,,2nd & 4th Wednesdays,https://www.ci.milpitas.ca.gov/our-government/commission/planning-commission/planning-commission-meeting-agendas-and-minutes/,,,,,,,,,,,,
Santa Clara,Milpitas,,City Council,6713,,"Tuesdays 1-3 times/month (1st, 2nd, 3rd, 4th)",https://www.ci.milpitas.ca.gov/our-government/city-council/city-council-agendas-and-minutes-2/,,,JF - No,,,,ap no,,,,,
Santa Clara,Mountain View,A,Planning Commission,11238,,1st & 3rd Wednesdays,https://mountainview.legistar.com/Calendar.aspx,,,,,,,,,,,,
Santa Clara,Mountain View,A,City Council,11238,,"2nd Tues, 4th Tuesdays",https://www.mountainview.gov/council/future_agenda_items.asp,,,,,,,,,,,,
Santa Clara,Santa Clara,A,City Council,11739,,"Approximately 2x/month on Tuesdays (1st, 2nd, 3rd, 4th)",https://santaclara.legistar.com/DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B&Mode=MainBody,,,JF - No,,,,ap no,,,,,
Santa Clara,Santa Clara,A,Planning Commission,11739,,"Usually Wednesdays 1-2x/month (1st, 2nd, 3rd, 4th)",https://santaclara.legistar.com/DepartmentDetail.aspx?ID=35684&GUID=249B4801-61A9-45B3-A4BA-904F6F83C9D0&R=d80b9eb5-5805-4362-bb2f-d2d29948352d,,,JF - No,,,,ap no,,,,,
Santa Clara,Sunnyvale,,Planning Commission,11966,,"1st Monday, 2nd Monday, 3rd Monday, 4th Monday,",https://sunnyvaleca.legistar.com/Calendar.aspx,,,JF - No,,,,ap no,,,,,
Santa Clara,Sunnyvale,,City Council,11966,,"Every other Tuesday (1st, 2nd, 3rd, 4th)",https://sunnyvaleca.legistar.com/DepartmentDetail.aspx?ID=24675&GUID=92003858-11AA-4C13-A98E-15FFEAD40EC0&Mode=MainBody,,,JF - No,,,,ap no,,,,,
Santa Clara,San Jose,A,Planning Commission,62761,,"2nd Wed, 4th Wed",https://www.sanjoseca.gov/your-government/departments-offices/planning-building-code-enforcement/planning-division/commissions-hearings-and-developers-roundtable/planning-commission/agendas-minutes-2022,,,,,,,,,,,,
Santa Clara,San Jose,A,City Council,62761,,weekly Tues,https://sanjose.legistar.com/DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,,,,,,,,,,,
Santa Clara,Monte Sereno,,Site & Arch. Comm'n,191,,1st Wednesday,https://montesereno.civicweb.net/Portal/MeetingInformation.aspx?Org=Cal&Id=108,,,,,,,,,,,,
Santa Clara,Morgan Hill,,City Council,1047,,"1st Weds, 3rd Weds @ 7pm",https://www.morgan-hill.ca.gov/2101/Agendas-Minutes,,,,,,,,,,,,
Santa Clara,Gilroy,,City Council,1285,,Varies,https://cityofgilroy.org/965/Agendas-Minutes,,,JF - No,,,,,,,,,
Santa Clara,Saratoga,,City Council,1712,,Varies,https://www.saratoga.ca.us/AgendaCenter/City-Council-13,,JF - No,JF - No,,,,,,,,,
Santa Clara,Los Altos,A,City Council,1958,,"2nd Tues, 4th Tuesdays",https://www.losaltosca.gov/meetings,BT -- No,,,,,,,,,,,
Santa Clara,Los Gatos,,City Council,1993,,"1st Tues, 3rd Tues @ 7pm",https://losgatos-ca.municodemeetings.com/,,,,,,,,,,,,
Santa Clara,Cupertino,,City Council,4588,,Varies,https://www.cupertino.org/our-city/agendas-minutes,,JF - No,JF - No,,,,,,,,,
Santa Clara,Palo Alto,,City Council,6086,,Varies,https://www.cityofpaloalto.org/Departments/City-Clerk/City-Meeting-Groups/Meeting-Agendas-and-Minutes,,JF - No,JF - No,,,,,,,,,
Santa Clara,Milpitas,,City Council,6713,,Varies,https://www.milpitas.gov/129/Agendas-Minutes,,JF - No,JF - No,CH- No,,,,,,,,
Santa Clara,Mountain View,,City Council,11238,,Varies,https://mountainview.legistar.com/Calendar.aspx,,JF - No,JF - No,CH- No,,,,,,,,
Santa Clara,San Jose,,City Council,62761,,Varies,https://www.sanjoseca.gov/your-government/appointees/city-clerk/council-agendas-minutes/council-agendas,,JF - No,JF - No,,,,,,,,,
Santa Clara,San Jose,A,Planning Commission,62761,,"2nd Wed, 4th Wed",https://www.sanjoseca.gov/your-government/departments-offices/planning-building-code-enforcement/planning-division/commissions-hearings-and-developers-roundtable/planning-commission/planning-commission-agendas-minutes,BT -- Cancelled,,,,,,,,,,,
Santa Clara,SCC,,Board of Supervisors,,,,"Meeting Portal - The County of Santa Clara, California (iqm2.com)",,,,,,,,,,,,
Santa Cruz,Capitola,,Planning Commission,"1,336",,1st Thursday @ 7pm,https://www.cityofcapitola.org/meetings,RM - NO,,,,,,,,,,,
Santa Cruz,Santa Cruz,A,Planning Commission,"3,736",,1st and 3rd Thursday @ 7pm,https://ecm.cityofsantacruz.com/OnBaseAgendaOnline/Meetings/Search?dropid=4&mtids=117,RM - NO,,,,,,,,,,,
Santa Cruz,Santa Cruz,A,City Council,"3,736",,"2nd Tues, 4th Tuesday (time varies)",https://ecm.cityofsantacruz.com/OnBaseAgendaOnline/Meetings/Search?dropid=4&mtids=103%2C104%2C105%2C106,,,,,,,,No,,,ES,
Santa Cruz,Scotts Valley,,City Council,"1,220",,1st and 3rd Wednesday @ 6pm,https://www.scottsvalley.gov/129/Agendas-Minutes,RM - TBD,,,,,,,,,,ES,
Santa Cruz,Scotts Valley,,Planning Commission,"1,220",,2nd Thursday of every month @ 6pm,https://www.scottsvalley.org/AgendaCenter/Planning-Commission-2,,,,,,,,,,,ES,
Santa Cruz,Watsonville,,Planning Commission,"2,053",,1st Tuesday generally,https://www.cityofwatsonville.org/195/Planning-Commission,,,,,,,,,,,,
Santa Cruz,Watsonville,,City Council,"2,053",,"2nd Tues, 4th Tuesdays @ 6pm (time varies)",https://www.cityofwatsonville.org/2123/City-Council-Agendas-Minutes,,,,,General Plan Amendment - Housing Element mentioned,,,No,,,ES,
Santa Cruz,Santa Cruz County,,Board of Supervisors,"4,634",,"2nd Tuesday, 4th Tuesday @ 9am",http://santacruzcountyca.iqm2.com/citizens/default.aspx?,,,,,,,,TBD,,,,
Solano,Dixon,,City Council,350,,"1st Tues, 3rd Tues @ 7pm",https://www.cityofdixon.us/MeetingAgendasMinutesVideos,,,,,,,,,,,,
Solano,Rio Vista,,City Council,478,,"1st Tues, 3rd Tues @ 6pm",https://www.riovistacity.com/meeting-agenda-minutes/,,,,,,,,,,,,
Solano,Suisun City,,City Council,617,,"1st Tues, 3rd Tues @ 6:30pm",https://www.suisun.com/government/city-council/city-council/,,,,,,,,,,,,
Solano,Benicia,,City Council,814,,Every Tues @ 7pm,https://www.ci.benicia.ca.us/agendas,,JF - Yes,JF - Cancelled,CH- Cancelled,,,,,,,,
Solano,Vacaville,,City Council,1880,,"2nd Tues, 4th Tues @ 6pm",https://www.ci.vacaville.ca.us/city-government/agendas-and-minutes,,,,,,,,No,,,,
Solano,Vallejo,,City Council,2965,,"2nd Tues, 4th Tues @ 7pm",https://www.vallejo.gov/our_city/departments_divisions/city_manager/city_clerk/city_agendas_videos,,,,,,,,No,,,,
Solano,Fairfield,,City Council,3076,,"1st Tues, 3rd Tues @ 6pm",https://www.fairfield.ca.gov/gov/city_council/ccm/default.asp,,,,,,,,,,,,
Solano,Fairfield,,Planning Commission,3076,,"2nd Tues, 4th Weds @ 6pm",https://eservices.fairfield.ca.gov/WebLink/Browse.aspx?startid=43042&row=1&dbid=0,,,,,,,,,,,,
Solano,Vallejo,,City Council,2965,,Varies,https://www.cityofvallejo.net/our_city/departments_divisions/city_manager/city_clerk/city_agendas_videos,JF - Cancelled,JF - Cancelled,JF - No,CH_Ho ,,,,,,,,
Solano,Vacaville,,City Council,1880,,Varies,https://www.cityofvacaville.gov/government/agendas-and-minutes,JF - No,JF - No,JF - No,CH- Ho ,,,,,,,,
Sonoma,Sebastopol,,City Council,215,,"1st Tues, 3rd Tues @ 6pm",https://ci.sebastopol.ca.us/Meeting-Event,JF - No,,,,,,,,,,,
Sonoma,Cotati,,City Council,236,,1st Monday & 3rd Monday @ 7pm,http://cotaticityca.iqm2.com/Citizens/calendar.aspx,JF - No,,,,,,,,,,,
Sonoma,Cloverdale,,City Council,281,,2nd Wednesday & 4th Wednesday @ 6pm,https://www.cloverdale.net/AgendaCenter,,,,,,,,,,,,
